id,class_a,class_b,class_c,class_d,class_e,class_f
294,Drama,Action,Romance,,,
295,Comedy,Drama,Romance,,,
296,Drama,Romance,,,,
297,Drama,,,,,
298,Crime,Comedy,,,,
299,Animation,Adventure,Comedy,,,
300,Action,Adventure,Drama,Fantasy,Romance,
301,Crime,Drama,,,,
302,Action,Drama,Crime,Horror,Action,
303,Action,Drama,Horror,Fantasy,Romance,Action
305,Drama,Romance,,,,
306,Action,Drama,Romance,,,
307,Action,Sci-Fi,Horror,Mystery,,
308,Drama,Fantasy,Mystery,Romance,,
309,Comedy,,,,,
310,Drama,,,,,
311,Drama,,,,,
312,Adventure,Drama,Western,,,
313,Drama,Romance,,,,
314,Mystery,Sci-Fi,Action,,,
315,Action,Crime,Action,,,
316,Comedy,Sci-Fi,Action,,,
317,Action,Crime,Sci-Fi,Action,,
318,Comedy,Crime,Romance,,,
319,Comedy,,,,,
320,Action,Horror,Drama,,,
321,Horror,Drama,Sci-Fi,Action,,
322,Drama,,,,,
323,Drama,Sci-Fi,Action,,,
324,Drama,,,,,
325,Drama,,,,,
326,Action,Adventure,Comedy,,,
327,Comedy,Drama,,,,
328,Comedy,,,,,
329,Comedy,Crime,,,,
330,Action,Drama,Action,,,
331,Crime,Drama,Mystery,Romance,Action,
332,Action,Crime,Action,,,
333,Action,Horror,Action,,,
334,Drama,War,,,,
335,Action,Drama,Action,War,,
336,Crime,Drama,Action,,,
337,Comedy,Drama,,,,
338,Animation,Adventure,Comedy,,,
339,Adventure,Comedy,Musical,,,
340,Crime,Mystery,Action,,,
341,Comedy,Drama,,,,
342,Drama,Horror,Action,,,
343,Action,Action,,,,
344,Action,Action,,,,
345,Comedy,Drama,,,,
346,Comedy,,,,,
347,Action,,,,,
348,Adventure,Drama,Western,,,
349,Comedy,Drama,,,,
350,Comedy,Drama,Action,,,
351,Comedy,Fantasy,Adventure,,,
352,Crime,Drama,Action,,,
353,Biography,Drama,Music,,,
354,Crime,Film-Noir,Drama,,,
355,Horror,Action,,,,
356,Action,Adventure,Fantasy,,,
357,Action,Crime,Drama,,,
358,Action,Crime,Fantasy,,,
359,Comedy,,,,,
360,Drama,Action,,,,
361,Comedy,Family,Musical,,,
362,Adventure,Comedy,,,,
363,Action,Adventure,Sci-Fi,Fantasy,,
364,Family,Sci-Fi,Adventure,Fantasy,,
365,Action,Mystery,Action,,,
366,Crime,Drama,Mystery,Action,,
367,Comedy,Romance,,,,
368,Comedy,,,,,
369,Comedy,Drama,,,,
370,Drama,Fantasy,Romance,,,
371,Action,Comedy,Horror,Sci-Fi,,
372,Action,Action,Crime,Western,,
373,Comedy,,,,,
374,Drama,,,,,
376,Drama,Action,Action,,,
377,Drama,Romance,,,,
378,Drama,Action,,,,
379,Action,Comedy,Crime,Action,,
381,Fantasy,,,,,
382,Comedy,Drama,,,,
383,Action,Adventure,Sci-Fi,Action,,
384,Action,Adventure,Sci-Fi,Action,,
385,Drama,Romance,Sci-Fi,,,
386,Comedy,Romance,Drama,,,
387,Horror,Sci-Fi,Action,,,
388,Horror,Fantasy,Comedy,,,
390,Drama,Mystery,Sci-Fi,,,
391,Adventure,Drama,Fantasy,,,
393,Comedy,Crime,Romance,,,
394,Drama,Romance,,,,
395,Action,Crime,Drama,Action,,
396,Action,Drama,Action,,,
397,Comedy,Romance,,,,
398,Action,Adventure,Fantasy,Sci-Fi,,
399,Animation,Adventure,Comedy,Family,,
400,Comedy,Crime,Action,,,
401,Comedy,Drama,,,,
402,Comedy,Crime,Action,,,
403,Drama,Romance,,,,
404,Comedy,Drama,,,,
405,Action,Comedy,Horror,Action,,
406,Comedy,,,,,
407,Drama,Family,Fantasy,,,
408,Action,Comedy,Drama,Fantasy,Romance,Sci-Fi
409,Action,Drama,Action,,,
410,Drama,,,,,
411,Horror,Action,,,,
412,Horror,Action,,,,
413,Adventure,Animation,Comedy,Family,,
414,Drama,,,,,
415,Action,Adventure,Fantasy,,,
416,Comedy,,,,,
417,Drama,,,,,
418,Comedy,Family,Fantasy,,,
419,Comedy,Drama,,,,
420,Adventure,Drama,War,,,
421,Comedy,Drama,,,,
422,Drama,,,,,
423,Crime,Drama,Action,,,
424,Drama,,,,,
427,Comedy,Sci-Fi,,,,
428,Action,Fantasy,Horror,Action,,
429,Action,Crime,Action,,,
430,Action,,,,,
431,Horror,Mystery,Action,,,
433,Comedy,Horror,,,,
434,Comedy,Horror,Action,,,
435,Action,Comedy,Horror,Action,,
436,Drama,Romance,War,,,
437,Drama,Action,,,,
438,Animation,Adventure,Comedy,,,
439,Crime,Drama,,,,
440,Drama,,,,,
441,Action,Adventure,Mystery,Action,,
442,Comedy,Drama,,,,
443,Action,Drama,,,,
445,Comedy,Drama,,,,
446,Mystery,Action,,,,
447,Action,Sci-Fi,Action,,,
448,Drama,,,,,
449,Crime,Drama,,,,
450,Crime,Drama,,,,
451,Comedy,Drama,Romance,,,
452,Drama,Sci-Fi,Action,,,
453,Action,Action,Crime,Drama,,
454,Drama,Mystery,,,,
455,Drama,,,,,
456,Horror,Mystery,Action,,,
457,Action,Comedy,Crime,Drama,,
458,Action,Crime,Drama,Action,,
459,Romance,Action,Drama,Fantasy,,
460,Action,Adventure,Drama,Action,,
461,Action,Fantasy,Action,,,
462,Action,Adventure,Horror,Action,Sci-Fi,
463,Comedy,Drama,,,,
464,Sci-Fi,Fantasy,Comedy,,,
465,Sci-Fi,Comedy,Action,Adventure,,
466,Crime,Drama,Mystery,,,
467,Drama,Action,,,,
468,Drama,,,,,
469,Comedy,Crime,,,,
470,Crime,Drama,,,,
471,Crime,Drama,,,,
472,Crime,Drama,Mystery,,,
473,Drama,,,,,
474,Sci-Fi,Action,Action,,,
475,Crime,Drama,Mystery,,,
476,Action,Crime,,,,
477,Drama,Comedy,,,,
478,Comedy,Drama,,,,
479,Horror,Action,Mystery,,,
480,Comedy,Horror,Sci-Fi,,,
481,Comedy,Drama,Romance,,,
482,Crime,Drama,,,,
483,Drama,Romance,,,,
484,Drama,Comedy,,,,
485,Drama,,,,,
486,Sci-Fi,Action,,,,
487,Drama,Romance,,,,
488,Drama,Fantasy,,,,
489,Comedy,Fantasy,Horror,,,
490,Comedy,Fantasy,Horror,Sci-Fi,,
491,Crime,Drama,,,,
492,Crime,Comedy,Romance,Action,,
493,Comedy,Fantasy,Romance,,,
494,Horror,Mystery,Action,,,
495,Action,Adventure,Comedy,,,
496,Action,Crime,Drama,Action,,
497,Comedy,Romance,,,,
498,Horror,Action,,,,
500,Action,Comedy,Crime,Drama,Fantasy,Action
501,Comedy,Crime,Mystery,Action,,
502,Action,Crime,Mystery,,,
503,Comedy,Drama,Romance,,,
504,Horror,Action,,,,
505,Comedy,,,,,
506,Animation,Comedy,Family,,,
507,Action,Crime,Action,Drama,,
508,Action,Romance,,,,
509,Adventure,Comedy,,,,
510,Horror,Mystery,Action,,,
511,Comedy,Drama,Romance,,,
512,Action,Crime,Drama,Action,,
513,Comedy,,,,,
514,Drama,Romance,Crime,Fantasy,Action,Horror
515,Action,Adventure,Animation,Fantasy,Horror,Sci-Fi
516,Comedy,,,,,
517,Crime,Drama,Action,,,
519,Adventure,Horror,Sci-Fi,Action,,
521,Horror,,,,,
525,Drama,,,,,
526,Comedy,Drama,,,,
527,Crime,Drama,,,,
528,Drama,Romance,Sci-Fi,,,
529,Drama,,,,,
530,Romance,Comedy,Drama,Music,,
531,Action,Fantasy,,,,
533,Horror,Action,,,,
534,Comedy,Romance,Drama,,,
535,Drama,,,,,
536,Adventure,Comedy,Sci-Fi,,,
537,Horror,Sci-Fi,Action,,,
538,Drama,Musical,,,,
539,Comedy,Crime,,,,
540,Drama,Romance,,,,
541,Comedy,Drama,,,,
542,Action,Crime,Drama,Action,,
543,Comedy,Sci-Fi,,,,
544,Drama,Action,War,,,
545,Horror,,,,,
547,Animation,Adventure,Comedy,,,
548,Animation,Action,Adventure,,,
549,Action,Adventure,Comedy,Crime,,
550,Comedy,Fantasy,Romance,,,
551,Comedy,,,,,
552,Action,Adventure,Action,,,
553,Drama,Action,,,,
554,Action,Sci-Fi,Action,,,
555,Drama,,,,,
556,Comedy,Drama,Romance,,,
557,Crime,Horror,Action,,,
558,Horror,Mystery,Action,,,
559,Comedy,Drama,,,,
560,Action,Sci-Fi,Action,,,
561,Drama,,,,,
562,Drama,,,,,
563,Adventure,Fantasy,Mystery,,,
564,Crime,Drama,,,,
565,Comedy,,,,,
566,Action,Adventure,Mystery,,,
567,Animation,Family,Adventure,Action,Comedy,Sci-Fi
568,Action,Sci-Fi,,,,
569,Action,Adventure,,,,
570,Action,Adventure,,,,
571,Action,Adventure,,,,
572,Action,Adventure,,,,
573,Comedy,Drama,Action,,,
574,Action,Adventure,War,,,
575,Drama,Action,,,,
576,Horror,Action,,,,
577,Crime,Drama,Action,,,
578,Adventure,Drama,Sci-Fi,,,
579,Drama,Horror,,,,
580,Adventure,Drama,,,,
581,Adventure,Comedy,Drama,,,
582,Comedy,Romance,Crime,,,
583,Drama,Romance,,,,
584,Comedy,,,,,
585,Drama,,,,,
586,Drama,,,,,
587,Action,Drama,Sci-Fi,Action,,
588,Drama,Horror,Action,,,
589,Romance,Comedy,,,,
590,Romance,Comedy,,,,
591,Drama,Family,Fantasy,Romance,,
592,Comedy,Romance,,,,
593,Adventure,Action,Crime,Action,,
594,Action,Drama,Fantasy,,,
595,Comedy,Crime,,,,
596,Drama,Action,,,,
598,Drama,Romance,,,,
599,Action,Horror,Sci-Fi,Action,,
600,Adventure,Horror,Action,,,
601,Horror,Action,Adventure,,,
602,Adventure,Comedy,,,,
603,Action,Mystery,,,,
604,Comedy,Horror,Action,,,
605,Comedy,Drama,Romance,,,
606,Drama,War,,,,
607,Crime,Drama,Mystery,Action,,
608,Action,,,,,
609,Crime,Drama,Action,,,
610,Action,Crime,Action,,,
611,Crime,Drama,Action,,,
612,Action,Crime,Sci-Fi,,,
613,Comedy,Drama,Romance,,,
614,Action,Adventure,Horror,Sci-Fi,Action,
615,Action,Adventure,Horror,Sci-Fi,Action,
617,Drama,,,,,
618,Crime,Action,,,,
620,Drama,,,,,
621,Comedy,Drama,,,,
623,Drama,Romance,,,,
624,Crime,Drama,Action,,,
625,Action,Adventure,Drama,Mystery,Action,
626,Comedy,Crime,Drama,,,
627,Drama,,,,,
628,Action,Drama,Action,,,
630,Crime,Drama,Mystery,Action,,
631,Comedy,Drama,Romance,,,
632,Drama,,,,,
633,Drama,,,,,
634,Animation,Action,Comedy,Family,,
635,Crime,Drama,Mystery,Action,,
636,Comedy,Drama,Musical,,,
637,Drama,Romance,,,,
638,Family,Fantasy,Adventure,Musical,,
639,Comedy,Crime,,,,
640,Action,Comedy,Horror,Action,,
641,Action,Horror,Action,,,
642,Comedy,Drama,Romance,,,
643,Action,Action,,,,
644,Drama,Romance,,,,
645,Drama,,,,,
646,Adventure,Romance,War,,,
647,Action,Adventure,Drama,War,,
648,Drama,History,,,,
649,Drama,Romance,,,,
650,Crime,Drama,Action,,,
651,Comedy,,,,,
652,Drama,Romance,,,,
653,Comedy,,,,,
654,Fantasy,Adventure,Romance,,,
655,Action,Fantasy,Horror,Action,,
656,Animation,Action,Adventure,,,
657,Drama,Musical,Romance,,,
658,Action,Comedy,Crime,,,
659,Horror,Sci-Fi,Action,,,
660,Comedy,Fantasy,,,,
661,Comedy,Drama,,,,
662,Comedy,Drama,,,,
663,Drama,Crime,Action,,,
664,Adventure,Drama,,,,
665,Drama,,,,,
666,Crime,Drama,,,,
667,Mystery,Sci-Fi,Action,,,
668,Drama,History,,,,
669,Crime,Drama,Action,,,
671,Comedy,Drama,,,,
672,Drama,,,,,
673,Family,Animation,Comedy,Musical,Romance,Fantasy
674,Comedy,Fantasy,Horror,,,
675,Comedy,Drama,,,,
676,Crime,Action,Comedy,,,
677,Action,Drama,Sci-Fi,,,
678,Action,Adventure,Sci-Fi,,,
679,Crime,Drama,Mystery,,,
680,Action,Action,Drama,,,
681,Action,Crime,Sci-Fi,,,
682,Fantasy,Horror,Action,,,
686,Crime,Drama,Action,,,
687,Action,Adventure,Crime,Mystery,Action,
688,Drama,Mystery,Action,Horror,,
689,Adventure,Fantasy,Sci-Fi,Drama,Mystery,
690,Action,Adventure,Sci-Fi,,,
691,Comedy,Drama,Romance,,,
692,Drama,Romance,,,,
693,Action,Action,,,,
694,Action,Crime,,,,
696,Comedy,Crime,Drama,,,
697,Drama,,,,,
698,Drama,Romance,,,,
699,Comedy,,,,,
700,Drama,,,,,
701,Comedy,,,,,
702,Action,Adventure,Drama,,,
703,Action,Crime,Drama,Action,,
704,Comedy,Drama,,,,
705,Comedy,Romance,,,,
706,Adventure,Drama,Action,,,
707,Comedy,Drama,Crime,,,
708,Action,Mystery,Sci-Fi,,,
709,Comedy,Crime,Mystery,,,
710,Drama,Action,Horror,,,
711,Drama,,,,,
712,Drama,Action,,,,
713,Comedy,Drama,,,,
714,Action,Crime,Action,Western,,
716,Drama,Action,,,,
717,Adventure,Drama,Sci-Fi,,,
718,Drama,Romance,,,,
719,Family,Comedy,Musical,Fantasy,Drama,Animation
720,Action,Comedy,Crime,Drama,Fantasy,Romance
721,Action,Adventure,Drama,,,
722,Drama,,,,,
723,Sci-Fi,Action,Action,,,
724,Action,Sci-Fi,Action,,,
725,Action,Crime,Drama,Action,,
726,Crime,Drama,,,,
727,Action,Crime,Action,,,
728,Fantasy,Mystery,Romance,Drama,,
729,Comedy,Drama,,,,
730,Animation,Action,Comedy,Family,Sci-Fi,
731,Drama,Mystery,Action,,,
732,Action,Comedy,Sci-Fi,,,
733,Action,Comedy,Sci-Fi,,,
734,Comedy,War,,,,
735,Action,Action,Drama,,,
736,Action,Crime,Drama,Action,,
737,Drama,,,,,
738,Crime,Drama,Action,,,
739,Comedy,Fantasy,Romance,,,
740,Action,Adventure,Family,,,
742,Drama,,,,,
743,Crime,Drama,Action,,,
744,Horror,Sci-Fi,Action,,,
745,Comedy,Crime,Drama,,,
746,Action,Crime,Drama,Mystery,Sci-Fi,Action
747,Drama,,,,,
748,Horror,Mystery,Action,,,
749,Drama,Horror,Action,,,
750,Action,Adventure,Action,,,
751,Action,Adventure,Mystery,Action,,
752,Drama,Sci-Fi,Action,Adventure,,
753,Drama,,,,,
754,Animation,Fantasy,Comedy,,,
756,Adventure,Comedy,Romance,,,
757,Drama,Mystery,Sci-Fi,Action,,
758,Comedy,Drama,Romance,,,
759,Comedy,Romance,Drama,,,
760,Comedy,,,,,
761,Crime,Drama,Action,,,
762,Comedy,,,,,
764,Drama,Romance,,,,
765,Drama,,,,,
766,Family,Animation,Comedy,Musical,Adventure,
767,Drama,Horror,Mystery,Romance,Action,
768,Comedy,Drama,,,,
769,Action,Adventure,Action,Fantasy,Horror,
770,Drama,,,,,
771,Horror,Action,,,,
772,Comedy,Romance,,,,
773,Comedy,Drama,Family,Romance,,
774,Short,,,,,
775,Drama,,,,,
776,Action,Comedy,Fantasy,,,
777,Comedy,,,,,
778,Drama,Musical,,,,
779,Action,Crime,Romance,Action,,
780,Comedy,Romance,,,,
781,Comedy,,,,,
782,Action,Adventure,Drama,,,
783,Action,Crime,Drama,Action,,
784,Comedy,Drama,,,,
785,Comedy,Romance,,,,
786,Adventure,Drama,Action,,,
787,Comedy,Drama,Crime,,,
788,Action,Mystery,Sci-Fi,,,
789,Comedy,Crime,Mystery,,,
790,Drama,Action,Horror,,,
791,Drama,,,,,
792,Drama,Action,,,,
793,Comedy,Drama,,,,
794,Action,Crime,Action,Western,,
796,Drama,Action,,,,
797,Adventure,Drama,Sci-Fi,,,
798,Drama,Romance,,,,
799,Family,Comedy,Musical,Fantasy,Drama,Animation
800,Action,Comedy,Crime,Drama,Fantasy,Romance
801,Action,Adventure,Drama,,,
802,Drama,,,,,
803,Sci-Fi,Action,Action,,,
804,Action,Sci-Fi,Action,,,
805,Action,Crime,Drama,Action,,
806,Crime,Drama,,,,
807,Action,Crime,Action,,,
808,Fantasy,Mystery,Romance,Drama,,
809,Comedy,Drama,,,,
810,Animation,Action,Comedy,Family,Sci-Fi,
811,Drama,Mystery,Action,,,
812,Action,Comedy,Sci-Fi,,,
813,Action,Comedy,Sci-Fi,,,
814,Comedy,War,,,,
815,Action,Action,Drama,,,
816,Action,Crime,Drama,Action,,
817,Drama,,,,,
818,Crime,Drama,Action,,,
819,Comedy,Fantasy,Romance,,,
820,Action,Adventure,Family,,,
822,Drama,,,,,
823,Crime,Drama,Action,,,
824,Horror,Sci-Fi,Action,,,
825,Comedy,Crime,Drama,,,
826,Action,Crime,Drama,Mystery,Sci-Fi,Action
827,Drama,,,,,
828,Horror,Mystery,Action,,,
829,Drama,Horror,Action,,,
830,Action,Adventure,Action,,,
831,Action,Adventure,Mystery,Action,,
832,Drama,Sci-Fi,Action,Adventure,,
833,Drama,,,,,
834,Animation,Fantasy,Comedy,,,
836,Adventure,Comedy,Romance,,,
837,Drama,Mystery,Sci-Fi,Action,,
838,Comedy,Drama,Romance,,,
839,Comedy,Romance,Drama,,,
840,Comedy,,,,,
841,Crime,Drama,Action,,,
842,Comedy,,,,,
844,Drama,Romance,,,,
845,Drama,,,,,
846,Family,Animation,Comedy,Musical,Adventure,
847,Drama,Horror,Mystery,Romance,Action,
848,Comedy,Drama,,,,
849,Action,Adventure,Action,Fantasy,Horror,
850,Drama,,,,,
851,Horror,Action,,,,
852,Comedy,Romance,,,,
853,Comedy,Drama,Family,Romance,,
854,Short,,,,,
855,Drama,,,,,
856,Action,Comedy,Fantasy,,,
857,Comedy,,,,,
858,Drama,Musical,,,,
859,Action,Crime,Romance,Action,,
860,Comedy,Romance,,,,
861,Comedy,Romance,,,,
862,Action,Adventure,Comedy,Family,,
863,Family,Musical,,,,
864,Action,Sci-Fi,Action,,,
865,Comedy,,,,,
866,Crime,Drama,Romance,Action,,
867,Comedy,,,,,
868,Crime,Drama,Action,,,
869,Horror,,,,,
870,Action,Fantasy,Horror,,,
871,Animation,Comedy,Fantasy,Horror,Musical,
872,Animation,Comedy,Fantasy,Horror,Musical,
873,Comedy,Horror,Mystery,,,
875,Drama,Musical,Romance,,,
876,Drama,Horror,Mystery,Action,,
877,Action,Crime,Drama,Action,,
878,Comedy,Romance,,,,
879,Horror,Action,Mystery,,,
880,Crime,Drama,Action,,,
881,Comedy,Romance,,,,
882,Comedy,Romance,Drama,,,
883,Comedy,Action,,,,
884,Action,Adventure,Sci-Fi,,,
885,Comedy,Crime,Drama,,,
886,Drama,Action,,,,
887,Comedy,Action,Crime,,,
888,Comedy,Crime,Action,,,
889,Comedy,,,,,
891,Drama,Sci-Fi,Action,,,
892,Drama,,,,,
893,Crime,Drama,Action,,,
894,Drama,,,,,
895,Fantasy,Horror,,,,
896,Drama,Horror,Mystery,,,
897,Drama,History,Romance,,,
898,Comedy,Crime,Drama,Romance,Action,
899,Comedy,Action,Family,Action,,
900,Action,Horror,Sci-Fi,,,
901,Crime,Drama,Action,,,
903,Animation,Adventure,Comedy,,,
904,Drama,,,,,
905,Drama,Romance,Sci-Fi,,,
906,Drama,,,,,
907,Action,Drama,War,,,
908,Adventure,Comedy,Sci-Fi,,,
909,Action,Drama,Romance,War,,
910,Drama,Horror,Action,,,
911,Comedy,,,,,
912,Action,Drama,Fantasy,Horror,Sci-Fi,
913,Action,Crime,Drama,,,
914,Drama,Romance,,,,
